SubCode,Class,Day,StartTime,EndTime,Room,Teacher
BUS201,Tutorial,Thursday,14:30,16:30,5.12-Informal Classroom,Shehnaz Al-Helo
BUS201,Tutorial,Wednesday,08:30,10:30,5.17-Classroom VC,Shehnaz Al-Helo
BUS201,Tutorial,Tuesday,12:30,14:30,4.50-Classroom B,Shehnaz Al-Helo
BUS201,Tutorial,Tuesday,16:30,18:30,3.48-Classroom B,Khaled Eid
BUS201,Tutorial,Wednesday,16:30,18:30,6.38-Classroom B,Ira Agtarap
BUS201,Tutorial,Friday,10:30,12:30,3.46-Classroom A,Nikita Kirplani
BUS201,Tutorial,Monday,16:30,18:30,3.48-Classroom B,Khaled Eid
BUS201,Tutorial,Wednesday,14:30,16:30,6.38-Classroom B,Ira Agtarap
BUS201,Tutorial,Wednesday,16:30,18:30,3.48-Classroom B,Khaled Eid
BUS331,Lecture,Wednesday,08:30,10:30,4.467-Classroom A 4.46 & 4.47,Jaeyoung Cho
BUS331,Lecture,Wednesday,08:30,10:30,4.467-Classroom A 4.46 & 4.47,Subhadeep Datta
BUS331,Lecture,Tuesday,12:30,14:30,4.44-Classroom B,Jaeyoung Cho
BUS331,Lecture,Tuesday,12:30,14:30,4.44-Classroom B,Subhadeep Datta
BUS331,Tutorial,Wednesday,10:30,12:30,4.467-Classroom A 4.46 & 4.47,Subhadeep Datta
BUS331,Tutorial,Wednesday,10:30,12:30,4.467-Classroom A 4.46 & 4.47,Shehnaz Al-Helo
BUS331,Tutorial,Wednesday,10:30,12:30,4.467-Classroom A 4.46 & 4.47,Sadaf Khurshid
BUS331,Tutorial,Wednesday,10:30,12:30,4.467-Classroom A 4.46 & 4.47,Jaeyoung Cho
BUS331,Tutorial,Tuesday,14:30,16:30,4.44-Classroom B,Subhadeep Datta
BUS331,Tutorial,Tuesday,14:30,16:30,4.44-Classroom B,Shehnaz Al-Helo
BUS331,Tutorial,Tuesday,14:30,16:30,4.44-Classroom B,Sadaf Khurshid
BUS997,Lecture,Friday,18:00,22:00,5.12-Informal Classroom,Ruwan Bandara
CHEM103,Computer Lab,Friday,16:30,19:30,1.53-Chemistry & Materials Science Lab,Yousef Al-Helo
CHEM103,Computer Lab,Friday,16:30,19:30,1.53-Chemistry & Materials Science Lab,Yousef Al-Helo
CHEM103,Lecture,Thursday,11:30,14:30,2.67-Block 19,Mama Chacha
CHEM103,Tutorial,Monday,10:30,12:30,3.42-Classroom B,Abdulqader Hasan
CIVL311,Lecture,Thursday,10:30,13:30,0.201-Concrete / Geo Tech Lab,Kamal Jaafar
CIVL311,Tutorial,Thursday,14:30,16:30,0.201-Concrete / Geo Tech Lab,Thahsin Saidarakath
CIVL352,Computer Lab,Wednesday,12:30,14:30,0.201-Concrete / Geo Tech Lab,Thahsin Saidarakath
CIVL352,Lecture,Tuesday,08:30,10:30,5.19-Classroom A,Sana Amir
